target_id	length	eff_length	est_counts	tpm
Phel_contig_10452	669	353.518	73.4221	22.3856
Phel_contig_10454	1604	1264.88	0	0
Phel_contig_10455	1689	1349.88	59	4.71096
Phel_contig_10456	1145	805.88	43	5.75109
Phel_contig_10457	601	296.361	216	78.557
Phel_contig_10458	654	340.549	48	15.192
Phel_contig_10459	1102	762.88	186.179	26.3044
Phel_contig_1046	753	427.826	1	0.251933
Phel_contig_10460	2136	1796.88	1587.18	95.2048
Phel_contig_10461	3012	2672.88	259	10.4441
Phel_contig_10462	1494	1154.88	170	15.8659
Phel_contig_10463	719	397.464	47.032	12.7541
Phel_contig_10464	2064	1724.88	208	12.9974
Phel_contig_10465	3299	2959.88	246	8.95805
Phel_contig_10466	1979	1639.88	1544	101.482
Phel_contig_10467	1663	1323.88	353	28.7395
Phel_contig_10468	792	463.665	112	26.0355
Phel_contig_10469	836	504.129	460.828	98.5256
Phel_contig_1047	546	252.87	224	95.4779
Phel_contig_10470	1248	908.88	39	4.62499
Phel_contig_10471	1237	897.88	91.2913	10.9588
Phel_contig_10472	1800	1460.88	3540	261.181
Phel_contig_10473	641	329.43	146	47.7686
Phel_contig_10474	1743	1403.88	437	33.5509
Phel_contig_10475	771	444.262	72	17.4681
Phel_contig_10477	1628	1288.88	84	7.02456
Phel_contig_10478	2485	2145.88	566.597	28.4591
Phel_contig_10479	2056	1716.88	88.9366	5.58333
Phel_contig_1048	1761	1421.88	71.1439	5.39296
Phel_contig_10480	1810	1470.88	433	31.7295
Phel_contig_10481	556	260.687	5	2.0673
Phel_contig_10482	1270	930.88	50.215	5.81423
Phel_contig_10483	1121	781.88	95	13.0959
Phel_contig_10484	921	584.21	90	16.6045
Phel_contig_10485	1032	692.88	47.1039	7.32743
Phel_contig_10486	558	262.275	24	9.86295
Phel_contig_10487	1305	965.88	44	4.91
Phel_contig_10488	1433	1093.88	135	13.302
Phel_contig_10489	784	456.134	488	115.314
Phel_contig_1049	1275	935.88	371	42.7274
Phel_contig_10490	564	266.756	22	8.88916
Phel_contig_10491	669	353.518	87	26.5253
Phel_contig_10492	2655	2315.88	436.224	20.3023
Phel_contig_10493	729	406.065	10	2.65435
Phel_contig_10494	836	504.129	0	0
Phel_contig_10495	1262	922.88	80	9.34323
Phel_contig_10496	1256	916.88	132	15.5172
Phel_contig_10497	865	531.301	166	33.6759
Phel_contig_10499	608	302.143	51	18.1932
Phel_contig_105	1942	1602.88	10752	723.004
Phel_contig_1050	2511	2171.88	1730	85.8544
Phel_contig_10500	965	626.729	73	12.5544
Phel_contig_10501	1013	673.88	74.1433	11.8588
Phel_contig_10502	525	237.149	54	24.5429
Phel_contig_10503	639	327.815	9	2.95914
Phel_contig_10504	608	302.143	19.5703	6.98132
Phel_contig_10505	500	218.893	24	11.8177
Phel_contig_10506	677	360.562	16	4.78292
Phel_contig_10507	624	315.221	50	17.0965
Phel_contig_10508	773	446.159	2.44527	0.59073
Phel_contig_10509	887	551.995	0	0
Phel_contig_1051	6482	6142.88	3407	59.7796
Phel_contig_10510	3029	2689.88	296	11.8607
Phel_contig_10511	1616	1276.88	43	3.6297
