PSC.0177	PSC.0186	PSC.0202	PSC.0203	PSC.0209	PSC.0219	PSC.0230	PSC.0149	PSC.0174	PSC.0187	PSC.0188	PSC.0190	PSC.0228	PSC.0231
g5343.t1	143	265	163	246	33	162	303	98	76	52	49	11	31	28
g4392.t1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g5554.t1	93	111	149	102	46	80	84	69	77	305	469	136	130	102
g13546.t4	0	0	0	0	0	0	0	0	0	50	0	0	0	5
g1931.t2	0	0	0	0	0	7	0	49	39	11	50	0	0	32
g14591.t1	77	104	113	55	38	94	139	89	74	107	104	77	96	49
g15479.t1	4	0	0	0	0	0	0	0	0	1	0	0	1	0
g2629.t1	6	3	5	3	14	5	9	1	4	2	21	0	0	13
g21812.t1	110	131	153	110	157	113	191	141	243	101	168	139	249	169
g17220.t1	2	7	4	1	3	2	3	0	0	3	7	0	8	2
g4702.t1	0	0	1	9	0	5	4	0	0	0	0	0	0	0
g23687.t1	8	6	8	2	1	6	17	9	1	3	3	0	9	1
g15947.t1	9	2	6	27	18	29	23	6	6	53	31	3	40	29
g10189.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g18833.t2	72	97	80	82	115	101	132	17	28	63	48	0	34	31
g13261.t1	76	132	119	85	41	132	164	34	35	49	41	9	62	12
g22911.t1	709	805	817	638	1025	512	873	59	59	155	191	60	88	137
g21163.t1	15	55	54	46	29	53	53	40	19	33	63	3	58	20
g22321.t1	131	132	172	133	0	145	151	134	103	37	58	10	11	58
g17467.t1	0	1	0	0	0	0	1	0	0	0	0	0	0	0
g17341.t1	1	1	0	0	0	0	0	1	0	0	0	0	1	0
g8512.t2	0	0	0	0	0	0	0	0	0	33	0	0	14	0
g9292.t1	0	0	2	3	0	0	0	0	2	2	0	0	0	2
g11859.t1	20	103	19	15	24	25	51	7	3	1164	175	4	143	177
g14290.t1	0	0	0	0	0	0	0	0	2	0	0	0	0	0
g21665.t1	97	90	107	52	114	75	109	91	66	52	61	21	72	33
g20415.t1	18	25	29	20	20	23	25	19	20	17	14	22	21	37
g15422.t1	214	377	401	264	324	271	471	40	85	54	66	35	33	52
g16146.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g12257.t1	4	2	0	1	0	4	0	0	7	3	0	0	3	0
g1329.t1	1633	116	35	677	652	246	33	26	22	1965	15438	214	958	7572
g2513.t1	70	71	82	60	208	79	83	17	36	10	16	6	22	20
g7545.t1	25	126	130	109	43	44	71	24	7	26	46	19	11	30
g8763.t1	1	0	0	0	4	0	2	0	3	3	4	0	2	0
g1162.t1	420	229	289	273	292	338	428	169	380	329	741	80	346	496
g22511.t1	5	6	6	10	14	4	0	11	4	29	6	0	28	4
g13650.t1	0	0	0	0	0	1	0	0	0	0	0	0	0	2
g17479.t1	14	43	14	47	5	69	9	1	1	12	4	1	33	12
g18311.t1	0	0	0	5	0	0	7	0	0	2	3	0	1	3
g9145.t1	86	119	139	78	131	74	152	71	34	77	77	20	36	21
g23665.t1	17	33	42	24	34	17	48	16	21	30	32	25	42	26
g19263.t1	411	214	142	178	505	247	262	357	666	317	241	280	454	228
g9088.t1	27	43	59	42	22	24	64	1	5	23	36	8	20	9
g11192.t1	1	2	12	43	0	21	37	3	4	94	11	0	29	9
g13173.t1	4	0	1	12	8	13	4	3	4	8	1	0	10	12
g19667.t1	0	0	0	0	0	1	0	3	0	1	0	0	5	0
g3071.t1	3	16	8	5	12	9	24	2	7	28	12	5	5	0
g13404.t3	33	10	0	80	113	54	40	0	15	18	53	0	38	10
g24.t1	0	1	0	0	0	0	0	0	4	4	0	0	6	2
g7615.t2	0	9	0	0	0	0	10	0	0	234	157	0	75	29
g5836.t1	31	35	22	20	21	28	35	4	1	8	5	2	6	10
g17415.t1	26	6	8	16	2	9	4	2	6	25	95	1	13	99
g9535.t1	130	112	83	112	240	102	99	133	90	162	83	59	84	74
g1234.t1	131	91	127	86	151	83	110	68	116	107	70	25	81	43
g16833.t1	1	0	0	0	0	0	0	0	0	0	2	0	0	0
g1606.t1	0	4	18	106	28	24	75	19	55	125	67	66	76	66
g14309.t1	359	423	596	425	244	385	444	73	68	48	94	17	74	43
g10420.t1	57	99	125	83	81	100	138	48	141	41	52	39	83	38
g21758.t1	0	1	0	0	0	0	0	0	0	0	0	0	1	0
g14166.t1	0	0	19	0	0	0	0	0	0	0	0	0	0	0
g9114.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g21097.t1	150547	146329	148719	122883	183989	166566	226900	48763	26292	7673	15957	11880	10998	10685
g19193.t2	18	52	15	10	86	22	54	28	11	25	17	8	28	11
g2564.t1	49	142	142	95	63	83	201	77	148	230	150	307	359	224
g19591.t1	105	60	102	160	30	151	279	108	92	248	267	29	111	314
g1024.t1	500	390	491	347	139	475	497	403	372	269	459	195	312	220
g10530.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g4268.t1	224	265	250	192	217	208	299	161	107	189	142	49	155	164
g15090.t1	70	137	63	153	11	61	136	22	225	501	1613	65	717	26
g11977.t2	108	195	103	159	278	93	195	42	83	244	136	65	178	91
g986.t1	78	70	57	116	62	101	164	97	95	160	92	160	415	96
g19518.t1	3288	2327	3044	2434	2505	3434	3729	3576	2933	1237	1926	1424	1880	2128
g13964.t1	154	407	293	214	300	245	327	58	69	279	133	74	187	70
g8688.t1	0	4	4	2	0	2	5	2	3	23	4	0	8	4
g12132.t1	1	0	0	0	0	1	0	2	2	8	13	6	15	0
g4031.t1	276	322	313	209	433	371	360	66	42	338	172	35	145	232
g17363.t1	2	0	4	2	0	5	4	20	1	14	34	2	103	35
g8753.t1	30	3	7	7	9	15	20	7	9	5	47	3	13	0
g16840.t1	0	0	0	4	0	0	0	0	0	3	0	0	0	0
g20969.t1	27	45	32	45	81	22	32	74	30	97	117	372	376	434
g11727.t1	135	98	124	109	138	85	75	150	390	153	85	208	366	179
g385.t1	28	70	85	52	100	80	83	6	10	88	49	11	25	25
g2718.t1	28	58	20	35	38	42	63	12	2	2	3	0	4	8
g11322.t1	0	0	0	0	0	1	0	0	0	11	21	0	0	6
g6225.t1	4	22	23	1	0	3	92	0	0	10	3	3	45	1
g15163.t1	3	0	2	0	0	1	0	4	2	0	16	2	1	13
g5217.t1	0	0	0	0	0	1	0	0	0	0	2	0	0	0
g22062.t1	1	0	0	0	0	0	0	0	0	0	0	0	1	1
g10496.t1	94	138	26	25	52	25	69	33	42	50	65	17	39	29
g17802.t1	0	3	1	1	4	2	1	6	0	117	7	0	29	10
g3197.t1	0	2	4	9	0	5	1	3	0	1	5	1	0	1
