PSC.0149	PSC.0150	PSC.0174	PSC.0187	PSC.0188	PSC.0190	PSC.0228	PSC.0231
g23885.t1	39	15	31	30	31	9	28	20
g14652.t1	1	77	2	6	1	1	1	1
g3398.t1	2	42	0	29	16	1	16	19
g10595.t2	113	48	103	85	76	56	73	63
g21942.t1	0	0	2	0	0	0	0	0
g9860.t1	2	9	12	23	13	15	6	7
g12166.t1	9	19	15	4	50	0	24	6
g7405.t1	0	2	0	1	0	0	0	0
g5433.t1	0	0	0	0	0	0	0	0
g6251.t1	6	4	1	2	2	0	1	0
g22943.t1	19	17	3	3	6	2	6	0
g13356.t1	85	55	182	195	90	300	160	82
g11258.t1	603	267	3982	1984	2711	6623	6267	2861
g10193.t1	16	42	19	22	15	2	23	9
g15395.t1	61	17	82	47	60	25	58	22
g5779.t1	25	24	21	16	17	40	31	26
g5713.t1	0	33	0	2	0	0	2	0
g19411.t1	1	7	0	46	22	0	10	20
g350.t2	1	16	0	0	26	0	0	0
g22144.t1	0	2	0	0	0	0	0	0
g1555.t1	27	25	13	8	11	15	21	6
g12279.t1	2	3	0	0	0	0	0	5
g13817.t1	0	0	1	1	0	0	0	0
g18818.t1	2	19	0	0	1	0	0	0
g8323.t1	756	86	8488	1195	549	7185	2267	1306
g9003.t1	0	10	0	21	4	0	6	0
g3051.t1	7	5	6	12	25	7	17	23
g7255.t1	0	0	0	0	0	0	0	0
g15082.t1	605	166	864	214	157	268	115	40
g4766.t1	0	0	0	136	114	9	61	138
g1911.t1	2827	402	2594	957	1096	3000	2899	3200
g15554.t1	0	0	3	6	1	17	59	0
g3368.t1	95	40	72	46	62	25	68	60
g16718.t1	0	8	0	0	0	1	2	0
g402.t2	1	4	1	8	42	1	7	19
g11915.t1	18	38	26	6303	1195	8	1129	1048
g20042.t1	7	9	6	16	13	4	6	5
g6778.t1	5	0	0	16	0	0	0	4
g22949.t1	5	31	6	10	10	1	3	4
g11758.t1	6	45	5	2	5	9	36	11
g12908.t1	4272	770	351	2360	5946	2195	7320	85
g5834.t1	135	16	154	127	93	50	142	67
g13890.t2	0	0	0	0	0	0	0	0
g15570.t1	21	57	24	32	31	7	33	9
g12695.t1	2	31	5	682	4610	31	78	3256
g5775.t1	0	18	3	0	0	0	3	0
g22114.t1	34	17	82	92	187	31	64	76
g22171.t2	319	96	303	251	219	97	136	132
g7219.t1	0	2	7	6	1	3	0	3
g2797.t1	0	4	0	0	0	0	0	0
g17401.t1	1	69	0	11	5	0	6	4
g21871.t1	1	46	0	45	0	0	4	0
g18068.t1	38	37	29	56	25	5	50	13
g2182.t1	2	17	3	2	0	0	0	0
