gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PSC.0149	PSC.0150	PSC.0174	PSC.0177	PSC.0186	PSC.0187	PSC.0188	PSC.0190	PSC.0202	PSC.0203	PSC.0209	PSC.0219	PSC.0228	PSC.0230	PSC.0231
95	g1038.t1	30.4104726252904	-2.40117359774361	0.867865460361413	-2.76675787597731	0.00566167872750107	0.0236012368534655	1	2	1	4	2	70	82	85	5	23	13	7	55	35	19
96	g10385.t1	7.57029906295405	-1.50204439508683	0.534241798599057	-2.81154413418351	0.00493043261646087	0.0212580412722309	9	96	5	0	3	12	22	5	12	5	3	5	18	9	5
97	g1039.t1	8.27930285731451	-3.18223965743006	1.09132253196663	-2.91594791110513	0.00354609698308215	0.0163861188015768	1	1	0	0	0	24	41	14	1	7	0	1	15	6	6
98	g10392.t1	44.6100342022866	-2.92576042605622	0.495088523745547	-5.90957028032412	3.43001317068519e-09	1.30418866340552e-07	11	42	32	3	18	138	45	72	14	20	7	12	65	17	65
99	g10393.t1	30.1156116454347	-3.09418627905167	0.721064081952838	-4.29113910468508	1.77758913757044e-05	0.00020980982537554	14	5	20	0	9	120	59	53	3	16	0	12	48	17	35
100	g10394.t1	71.9918194612751	-2.81315466735365	0.572298502733476	-4.91553735317695	8.8539266178678e-07	1.64424637233965e-05	33	56	50	10	23	270	117	94	5	36	2	20	72	73	98
101	g104.t1	43.2562732143757	1.19169901170408	0.417713607875362	2.8529092402938	0.00433209923042009	0.0191705802516136	35	31	25	55	94	18	33	4	91	65	82	68	21	114	4
102	g1040.t1	62.9519163010222	-2.60275182251621	0.791831013926604	-3.28700414196893	0.00101259344362882	0.00594884647843558	9	58	101	8	5	48	68	167	14	66	0	25	20	37	82
103	g10401.t1	9.17630464362421	-2.69677157090085	0.96884139010399	-2.78350161176681	0.00537755952912036	0.0227263237380439	6	9	1	6	1	50	12	0	0	5	6	0	5	2	24
104	g10407.t1	945.634203175314	-2.71718588999268	0.402702724844001	-6.74737398671754	1.50544883873313e-11	1.0307084058858e-09	1405	241	1895	240	140	1540	640	1269	225	292	221	486	3177	631	678
105	g10412.t1	14.8209024943022	-3.8872510483231	0.929233023837084	-4.18328981924411	2.87320724291756e-05	0.000313631880426445	2	45	11	4	3	5	11	5	0	4	0	4	23	0	36
106	g10412.t2	18.7161063671375	-2.7332172387747	0.97130417694577	-2.81396631832594	0.00489343552479845	0.0211511166690418	3	78	4	8	5	8	22	8	8	6	0	6	0	10	12
107	g10414.t2	678.025460298925	-1.10308190467342	0.389140311764007	-2.83466367098554	0.00458739526646017	0.0200542122832624	694	181	483	708	371	315	711	904	470	430	574	526	877	735	1562
